SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,BUREAU_SK_ID_BUREAU_COUNT,BUREAU_DAYS_CREDIT_MEAN,BUREAU_DAYS_CREDIT_MIN,BUREAU_DAYS_CREDIT_MAX,BUREAU_AMT_CREDIT_SUM_SUM,BUREAU_AMT_CREDIT_SUM_MEAN,BUREAU_AMT_CREDIT_SUM_DEBT_SUM,BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,BUREAU_DAYS_CREDIT_ENDDATE_MEAN,BUREAU_DAYS_CREDIT_ENDDATE_MAX,BUREAU_IS_OPEN_ENDED_CREDIT_SUM,BUREAU_IS_OPEN_ENDED_CREDIT_MAX,BUREAU_RECENT_LOAN_FLAG_SUM,BUREAU_HAS_BEEN_OVERDUE_MAX,BUREAU_BUREAU_BAL_MONTHS_BALANCE_MIN_MEAN,BUREAU_BUREAU_BAL_MONTHS_BALANCE_MIN_SUM,BUREAU_BUREAU_BAL_MONTHS_BALANCE_MAX_MEAN,BUREAU_BUREAU_BAL_MONTHS_BALANCE_MAX_SUM,BUREAU_BUREAU_BAL_MONTHS_BALANCE_SIZE_MEAN,BUREAU_BUREAU_BAL_MONTHS_BALANCE_SIZE_SUM,BUREAU_BUREAU_BAL_STATUS_CLOSED_SUM_MEAN,BUREAU_BUREAU_BAL_STATUS_CLOSED_SUM_SUM,BUREAU_BUREAU_BAL_STATUS_UNKNOWN_MEAN_MEAN,BUREAU_BUREAU_BAL_STATUS_UNKNOWN_MEAN_SUM,BUREAU_BUREAU_BAL_STATUS_SEVERE_DPD_SUM_MEAN,BUREAU_BUREAU_BAL_STATUS_SEVERE_DPD_SUM_SUM,BUREAU_BUREAU_BAL_STATUS_SEVERE_DPD_MAX_MEAN,BUREAU_BUREAU_BAL_STATUS_SEVERE_DPD_MAX_SUM,BUREAU_BUREAU_BAL_STATUS_NUMERIC_MAX_MEAN,BUREAU_BUREAU_BAL_STATUS_NUMERIC_MAX_SUM,BUREAU_BUREAU_BAL_STATUS_NUMERIC_MEAN_MEAN,BUREAU_BUREAU_BAL_STATUS_NUMERIC_MEAN_SUM,BUREAU_DEBT_CREDIT_RATIO,BUREAU_ACTIVE_DEBT_RATIO,PREV_SK_ID_PREV_COUNT,PREV_AMT_APPLICATION_MIN,PREV_AMT_APPLICATION_MAX,PREV_AMT_APPLICATION_MEAN,PREV_AMT_CREDIT_MIN,PREV_AMT_CREDIT_MAX,PREV_AMT_CREDIT_MEAN,PREV_AMT_DOWN_PAYMENT_MAX,PREV_AMT_DOWN_PAYMENT_MEAN,PREV_APPLICATION_CREDIT_RATIO_MAX,PREV_APPLICATION_CREDIT_RATIO_MEAN,PREV_PREV_IS_APPROVED_SUM,PREV_PREV_IS_APPROVED_MEAN,PREV_PREV_IS_REFUSED_SUM,PREV_PREV_IS_REFUSED_MEAN,PREV_PREV_IS_CANCELED_SUM,PREV_PREV_IS_CANCELED_MEAN,PREV_YIELD_HIGH_SUM,PREV_YIELD_HIGH_MEAN,PREV_DAYS_DECISION_MIN,PREV_DAYS_DECISION_MAX,PREV_DAYS_DECISION_MEAN,PREV_CNT_PAYMENT_MAX,PREV_CNT_PAYMENT_MEAN,PREV_NFLAG_INSURED_ON_APPROVAL_SUM,PREV_NFLAG_INSURED_ON_APPROVAL_MEAN,PREV_AREA_WAS_NEGATIVE_MEAN,PREV_HAS_DISBURSEMENT_INFO_MEAN,PREV_HAS_DOWN_PAYMENT_MEAN,PREV_HAS_INTEREST_RATE_MEAN,PREV_SELLERPLACE_AREA_MAX,PREV_SELLERPLACE_AREA_MEDIAN,POS_MONTHS_BALANCE_MAX,POS_MONTHS_BALANCE_MIN,POS_MONTHS_BALANCE_SIZE,POS_SK_DPD_DEF_MAX,POS_SK_DPD_DEF_MEAN,POS_POS_IS_LATE_SUM,POS_POS_IS_LATE_MEAN,POS_POS_IS_SEVERE_LATE_SUM,POS_CNT_INSTALMENT_MEAN,POS_CNT_INSTALMENT_MAX,POS_CNT_INSTALMENT_FUTURE_MEAN,POS_POS_IS_COMPLETED_SUM,POS_POS_IS_ACTIVE_SUM,CLIENT_SK_ID_PREV_COUNT,CLIENT_CARD_MONTHS_BALANCE_SIZE_SUM,CLIENT_CARD_CC_UTILIZATION_MAX_MAX,CLIENT_CARD_CC_UTILIZATION_MEAN_MEAN,CLIENT_CARD_CC_ATM_DRAWING_RATIO_MAX_MAX,CLIENT_CARD_CC_IS_LATE_SUM_SUM,CLIENT_CARD_CC_IS_SEVERE_LATE_SUM_SUM,CLIENT_CARD_AMT_DRAWINGS_ATM_CURRENT_WAS_MISSING_SUM_SUM,CLIENT_INST_SK_ID_PREV_COUNT,CLIENT_INST_LOAN_NUM_INSTALMENT_VERSION_NUNIQUE_SUM,CLIENT_INST_LOAN_PAYMENT_DELAY_MAX_MAX,CLIENT_INST_LOAN_PAYMENT_DELAY_MEAN_MEAN,CLIENT_INST_LOAN_PAYMENT_FRACTION_MIN_MIN,CLIENT_INST_LOAN_IS_LATE_SUM_SUM,CLIENT_INST_LOAN_IS_SEVERE_LATE_SUM_SUM,CLIENT_INST_LOAN_IS_UNDERPAID_SUM_SUM,CLIENT_INST_LOAN_IS_MISSED_PAYMENT_SUM_SUM
384575,0,Cash loans,M,Y,N,2,207000.0,465457.5,52641.0,418500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.00963,-13297,-762.0,-637.0,-4307,19.0,1,1,0,1,0,0,Sales staff,4.0,2,2,THURSDAY,11,0,0,0,0,1,1,Business Entity Type 3,0.6758780692916837,0.6048943383603742,0.0005272652387098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,-1142.857142857143,-2857.0,-129.0,970276.5,138610.92857142858,276988.5,39569.78571428572,-891.0,231.0,0.0,0.0,1.0,1.0,-37.142857142857146,-260.0,-16.0,-112.0,22.142857142857142,155.0,4.142857142857143,29.0,0.04517374517374517,0.3162162162162162,0.0,0.0,0.0,0.0,0.2857142857142857,2.0,0.0642857142857143,0.45,0.28547377989676137,0.5754122574131548,5.0,0.0,45000.0,22279.5,25231.5,225000.0,100030.5,4050.0,3321.0,1.0265739254503299,0.579382385965312,2.0,0.4,3.0,0.6,0.0,0.0,2.0,0.4,-2278.0,-1291.0,-1642.6,12.0,5.6,0.0,0.0,0.6,0.0,0.4,0.0,2056.0,1628.0,-54.0,-75.0,23.0,0.0,0.0,0.0,0.0,0.0,11.130434782608695,12.0,5.782608695652174,1.0,22.0,,,,,,,,,2.0,2.0,6.0,-7.618421052631579,9.420453689049665e-06,10.0,0.0,7.0,0.0
214010,0,Cash loans,F,Y,Y,0,247500.0,1281712.5,48946.5,1179000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.006852,-14778,-1141.0,-1610.0,-4546,11.0,1,1,0,1,0,1,Managers,1.0,3,3,THURSDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.4308270680689849,0.4253505221468029,0.7121551551910698,0.0753,0.0568,0.997,0.9592,0.1326,0.08,0.0517,0.4167,0.2917,0.0735,0.0601,0.0844,0.0058,0.1118,0.0756,0.0566,0.994,0.9216,0.0523,0.0806,0.0345,0.3333,0.0417,0.0445,0.0652,0.0857,0.0,0.0,0.076,0.0568,0.997,0.9597,0.1335,0.08,0.0517,0.4167,0.2917,0.0748,0.0611,0.0859,0.0058,0.1142,reg oper account,block of flats,0.0754,Monolithic,No,2.0,0.0,2.0,0.0,-1071.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,-841.6,-1487.0,-295.0,4330867.5,866173.5,0.0,0.0,2372.8,9479.0,0.0,0.0,0.0,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,12.0,16942.5,1575000.0,454259.25,16942.5,1921374.0,488020.875,18603.0,9150.75,1.7405890384240297,1.0455507903824723,10.0,0.8333333333333334,2.0,0.16666666666666666,0.0,0.0,3.0,0.25,-2406.0,-757.0,-1215.75,36.0,9.916666666666666,5.0,0.5555555555555556,0.75,0.08333333333333333,0.3333333333333333,0.0,930.0,930.0,-24.0,-79.0,44.0,0.0,0.0,0.0,0.0,0.0,7.568181818181818,12.0,4.431818181818182,7.0,36.0,1.0,24.0,0.5241326666666667,0.07874796111111111,0.9333333333333333,0.0,0.0,8.0,9.0,15.0,3.0,-16.29541645718116,0.006796907206129283,1.0,0.0,1.0,0.0
142232,0,Cash loans,F,Y,N,0,202500.0,495000.0,39109.5,495000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-17907,-639.0,-2507.0,-1461,4.0,1,1,1,1,0,0,Sales staff,2.0,2,2,TUESDAY,16,0,0,0,0,0,0,Self-employed,0.5272390876896329,0.5317599965307688,0.2079641743053816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,0.0,-1435.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,-859.1666666666666,-2305.0,-399.0,2804085.0,467347.5,1431166.5,238527.75,-55.833333333333336,1189.0,0.0,0.0,0.0,0.0,-27.833333333333332,-167.0,-8.666666666666666,-52.0,20.166666666666668,121.0,10.166666666666666,61.0,0.13988095238095238,0.8392857142857143,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.015873015873015872,0.09523809523809523,0.5103862757370051,0.697067397260274,7.0,0.0,450000.0,121017.81857142856,0.0,497520.0,126556.54714285715,12330.9,3082.725,1.151146699836741,1.0111265903291426,3.0,0.42857142857142855,1.0,0.14285714285714285,2.0,0.2857142857142857,1.0,0.14285714285714285,-1435.0,-107.0,-621.4285714285714,24.0,14.0,0.0,0.0,0.2857142857142857,0.0,0.5714285714285714,0.0,28.0,28.0,-5.0,-47.0,21.0,0.0,0.0,0.0,0.0,0.0,9.047619047619047,10.0,4.523809523809524,2.0,18.0,,,,,,,,,2.0,2.0,10.0,-18.823863636363637,0.004660014748044048,1.0,0.0,1.0,0.0
389171,0,Cash loans,F,N,Y,0,247500.0,254700.0,24939.0,225000.0,Unaccompanied,State servant,Secondary / secondary special,Widow,House / apartment,0.04622,-19626,-6982.0,-11167.0,-3158,,1,1,0,1,0,0,High skill tech staff,1.0,1,1,FRIDAY,14,0,0,0,0,0,0,Business Entity Type 3,,0.6935206274920988,0.6144143775673561,0.132,0.0645,0.9846,,,0.16,0.069,0.625,,,,0.1628,,0.0022,0.1345,0.067,0.9846,,,0.1611,0.069,0.625,,,,0.1696,,0.0023,0.1332,0.0645,0.9846,,,0.16,0.069,0.625,,,,0.1657,,0.0022,,,0.1285,Panel,No,0.0,0.0,0.0,0.0,-2000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2421.0,-2657.0,-2185.0,252517.05,126258.525,0.0,0.0,-2163.0,-2004.0,0.0,0.0,0.0,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,1.0,104292.0,104292.0,104292.0,103153.5,103153.5,103153.5,10431.0,10431.0,1.0110369497884222,1.0110369497884222,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-2000.0,-2000.0,-2000.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,7120.0,7120.0,-42.0,-66.0,25.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,3.12,1.0,24.0,,,,,,,,,1.0,1.0,344.0,29.615384615384617,0.0015852809069728342,12.0,1.0,1.0,0.0
283617,0,Cash loans,M,N,Y,0,112500.0,308133.0,15862.5,234000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.01885,-20327,-1105.0,-7299.0,-494,,1,1,0,1,0,0,Laborers,1.0,2,2,WEDNESDAY,11,0,0,0,0,0,0,Business Entity Type 3,0.6548815043678321,0.5606898594049499,0.6363761710860439,0.0619,0.0553,0.9717,,,0.0,0.1724,0.1667,,0.0866,,0.0749,,0.0149,0.063,0.0574,0.9717,,,0.0,0.1724,0.1667,,0.0885,,0.078,,0.0158,0.0625,0.0553,0.9717,,,0.0,0.1724,0.1667,,0.0881,,0.0762,,0.0152,,block of flats,0.0765,"Stone, brick",No,0.0,0.0,0.0,0.0,-173.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,-1215.6666666666667,-2618.0,-217.0,1360575.0,453525.0,487476.0,162492.0,-301.0,1609.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.35828675376219615,0.6225747126436781,9.0,0.0,225000.0,70180.0,0.0,450000.0,177702.5,2475.0,1237.5,1.0660629759209714,0.7003825320614026,5.0,0.5555555555555556,3.0,0.3333333333333333,1.0,0.1111111111111111,5.0,0.5555555555555556,-1807.0,-173.0,-1050.7777777777778,12.0,7.5,3.0,0.6,0.7777777777777778,0.0,0.2222222222222222,0.0,12.0,12.0,-4.0,-60.0,26.0,0.0,0.0,0.0,0.0,0.0,9.423076923076923,12.0,5.6923076923076925,4.0,21.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,7.0,13.0,-13.120833333333334,0.0003732485061653256,9.0,0.0,8.0,0.0
362171,0,Cash loans,M,N,Y,0,85500.0,152820.0,16456.5,135000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.006629,-19130,,-8549.0,-959,,1,0,0,1,1,0,,2.0,2,2,THURSDAY,6,0,0,0,0,0,0,XNA,,0.5191266804311161,0.1047946227497676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-1011.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-216.66666666666666,-342.0,-154.0,369652.5,123217.5,34645.5,34645.5,117.0,211.0,0.0,0.0,2.0,0.0,-7.0,-21.0,-2.0,-6.0,6.0,18.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.1111111111111111,0.3333333333333333,0.0937245115344817,0.0937245115344817,2.0,102600.0,225000.0,163800.0,83583.0,254700.0,169141.5,27000.0,27000.0,1.2275223430601916,1.0554572846043007,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,-1011.0,-423.0,-717.0,24.0,18.0,1.0,0.5,0.0,0.0,0.5,0.0,57.0,29.5,-1.0,-33.0,27.0,0.0,0.0,0.0,0.0,0.0,18.22222222222222,24.0,11.962962962962964,1.0,25.0,,,,,,,,,2.0,2.0,12.0,-3.416666666666667,1.0,8.0,0.0,0.0,0.0
180689,0,Cash loans,F,N,N,1,112500.0,900000.0,24750.0,900000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.015221,-15722,-345.0,-492.0,-4672,,1,1,0,1,1,0,,3.0,2,2,WEDNESDAY,12,0,0,0,1,0,1,Business Entity Type 3,0.7140669333212697,0.5479626352655883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-440.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-1072.5,-1418.0,-727.0,110963.61,55481.805,0.0,0.0,-872.5,-631.0,0.0,0.0,0.0,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310328,0,Cash loans,M,Y,Y,0,141606.0,810000.0,33120.0,810000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.018801,-10801,-260.0,-263.0,-3152,12.0,1,1,1,1,0,0,Laborers,1.0,2,2,FRIDAY,10,0,0,0,0,0,0,Trade: type 3,,0.0125875656953968,0.4902575124990026,0.0825,0.088,0.9747,0.6532,0.0629,0.0,0.1379,0.1667,0.2083,0.0824,0.0672,0.0709,0.0,0.0,0.084,0.0913,0.9747,0.6668,0.0635,0.0,0.1379,0.1667,0.2083,0.0843,0.0735,0.0739,0.0,0.0,0.0833,0.088,0.9747,0.6578,0.0633,0.0,0.1379,0.1667,0.2083,0.0838,0.0684,0.0722,0.0,0.0,reg oper account,block of flats,0.0901,Panel,No,5.0,0.0,5.0,0.0,-222.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-608.5,-660.0,-557.0,1035000.0,517500.0,676449.0,338224.5,904.0,904.0,0.0,0.0,0.0,0.0,-19.5,-39.0,-1.5,-3.0,19.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6535739130434782,0.6535739130434782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233043,0,Cash loans,F,N,Y,0,130500.0,781920.0,34443.0,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.0228,-23516,,-1663.0,-4763,,1,0,0,1,0,0,,2.0,2,2,SATURDAY,8,0,0,0,0,0,0,XNA,,0.077534911185021,0.633031641417419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,-1480.5714285714287,-2494.0,-354.0,1455786.135,207969.44785714286,402324.525,80464.905,-887.3333333333334,741.0,0.0,0.0,0.0,1.0,-48.142857142857146,-337.0,-9.857142857142858,-69.0,39.285714285714285,275.0,20.285714285714285,142.0,0.005175983436853002,0.036231884057971016,0.5714285714285714,4.0,0.2857142857142857,2.0,0.7142857142857143,5.0,0.02673765158237208,0.18716356107660456,0.27636238272045366,0.7707366379310345,11.0,0.0,247500.0,95524.36363636363,0.0,274288.5,100912.09090909091,19323.0,9661.5,1.0420104844189884,0.9494441795469872,5.0,0.45454545454545453,5.0,0.45454545454545453,1.0,0.09090909090909091,1.0,0.09090909090909091,-2245.0,-101.0,-969.3636363636364,24.0,12.833333333333334,3.0,0.6,0.8181818181818182,0.0,0.18181818181818182,0.0,350.0,200.0,-11.0,-74.0,61.0,0.0,0.0,0.0,0.0,0.0,14.19672131147541,24.0,8.21311475409836,4.0,57.0,,,,,,,,,5.0,6.0,4.0,-12.415000000000001,0.009273363548240971,5.0,0.0,3.0,0.0
232220,0,Cash loans,F,N,Y,1,99000.0,900000.0,35824.5,900000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.026392,-8755,-649.0,-8733.0,-1436,,1,1,0,1,0,0,Laborers,2.0,2,2,WEDNESDAY,14,0,0,0,0,0,0,Trade: type 7,,0.7400816968755699,,0.0804,0.0609,0.9762,,,0.0,0.1379,0.1667,,0.0697,,0.0608,,0.0,0.0819,0.0632,0.9762,,,0.0,0.1379,0.1667,,0.0712,,0.0634,,0.0,0.0812,0.0609,0.9762,,,0.0,0.1379,0.1667,,0.0709,,0.0619,,0.0,,block of flats,0.0478,"Stone, brick",No,3.0,0.0,3.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,454500.0,68622.13636363637,0.0,472500.0,71488.63636363637,0.0,0.0,1.0,0.9732810063714881,5.0,0.45454545454545453,0.0,0.0,6.0,0.5454545454545454,0.0,0.0,-767.0,-127.0,-373.1818181818182,12.0,8.8,2.0,0.6666666666666666,0.6363636363636364,0.0,0.2727272727272727,0.0,180.0,32.5,-3.0,-25.0,25.0,0.0,0.0,0.0,0.0,0.0,10.32,12.0,6.36,3.0,22.0,,,,,,,,,3.0,6.0,3.0,-8.774074074074074,0.012206176969169544,3.0,0.0,2.0,0.0
