Feature,Coefficient
num__POS_POS_IS_LATE_MEAN,1.7712841105563637
num__FLAG_DOCUMENT_2,1.4675545949614603
num__EXT_SOURCE_1,-1.34938900773897
cat__NAME_EDUCATION_TYPE_Academic_degree,-1.2364652424748512
num__AMT_CREDIT,1.1677886833280133
num__AMT_GOODS_PRICE,-1.0611630100084601
num__FLAG_DOCUMENT_17,-1.0108888504214313
num__FLAG_DOCUMENT_15,-0.8329905192199927
cat__NAME_INCOME_TYPE_Pensioner,-0.817382106322115
num__FLAG_DOCUMENT_13,-0.7882244819785156
cat__ORGANIZATION_TYPE_Realtor,0.7620687257869884
cat__ORGANIZATION_TYPE_Trade__type_4,-0.7288523841154821
cat__NAME_INCOME_TYPE_Unemployed,0.7049863031293405
num__FLAG_EMP_PHONE,-0.6584149079842464
cat__ORGANIZATION_TYPE_Legal_Services,0.6557766778357466
num__missingindicator_AMT_GOODS_PRICE,0.6381850088288474
cat__NAME_INCOME_TYPE_Student,-0.6359369260539245
cat__ORGANIZATION_TYPE_Trade__type_5,-0.6227252229698242
num__CLIENT_CARD_CC_UTILIZATION_MAX_MAX,0.5760595984670701
num__NONLIVINGAPARTMENTS_MEDI,0.5554831715908058
cat__ORGANIZATION_TYPE_Transport__type_3,0.5382684382667042
num__FLAG_DOCUMENT_14,-0.5296286917262965
num__EXT_SOURCE_2,-0.5226113158117441
num__missingindicator_PREV_APPLICATION_CREDIT_RATIO_MEAN,-0.48994546735727246
num__missingindicator_PREV_APPLICATION_CREDIT_RATIO_MAX,-0.48994546735727246
num__ENTRANCES_MEDI,-0.4855353800161009
num__LIVINGAPARTMENTS_MEDI,0.4837018807009999
num__FLAG_DOCUMENT_4,-0.4768187762120909
num__FLAG_DOCUMENT_18,-0.46887642347247943
cat__ORGANIZATION_TYPE_Industry__type_12,-0.46865911027410856
num__FLAG_DOCUMENT_3,0.46799366615740423
num__missingindicator_AMT_ANNUITY,-0.46535532339077373
num__FLOORSMAX_MEDI,-0.4644843414840594
num__POS_CNT_INSTALMENT_MEAN,-0.46310479353158557
num__EXT_SOURCE_3,-0.45115796288525306
num__FLAG_DOCUMENT_16,-0.4478986370192877
num__FLAG_DOCUMENT_6,0.4415703203975973
num__CLIENT_SK_ID_PREV_COUNT,0.4408927764076954
num__missingindicator_EXT_SOURCE_2,0.4349929155456159
num__FLAG_DOCUMENT_5,0.414493741730099
num__POS_CNT_INSTALMENT_FUTURE_MEAN,0.4125748965952576
cat__ORGANIZATION_TYPE_Military,-0.41088508466470963
cat__NAME_EDUCATION_TYPE_Lower_secondary,0.40948544923349284
cat__ORGANIZATION_TYPE_Transport__type_1,-0.3698483563109972
num__BUREAU_BUREAU_BAL_STATUS_SEVERE_DPD_MAX_MEAN,-0.36963882891406225
cat__ORGANIZATION_TYPE_Industry__type_6,-0.35591950653396487
num__CLIENT_CARD_CC_UTILIZATION_MEAN_MEAN,0.319389311777023
cat__NAME_EDUCATION_TYPE_Secondary_/_secondary_special,0.3178092123883752
num__FLAG_DOCUMENT_20,0.30348281977514663
cat__ORGANIZATION_TYPE_Hotel,-0.30225404401469874
cat__NAME_INCOME_TYPE_Working,0.3009245486374964
cat__ORGANIZATION_TYPE_Trade__type_6,-0.2964117647446812
cat__FLAG_OWN_CAR_Y,-0.2867600062617642
num__ELEVATORS_MEDI,-0.2853398581856671
num__POS_MONTHS_BALANCE_SIZE,0.28528811843322494
cat__ORGANIZATION_TYPE_Industry__type_9,-0.2833266038005003
num__REG_REGION_NOT_LIVE_REGION,-0.2811301122483272
num__FLAG_DOCUMENT_8,0.27697408347863944
num__POS_POS_IS_ACTIVE_SUM,-0.2738236873033926
num__PREV_HAS_DISBURSEMENT_INFO_MEAN,0.2731919029071012
cat__CODE_GENDER_F,-0.2728548327812979
cat__NAME_CONTRACT_TYPE_Cash_loans,-0.26630986102811466
num__CLIENT_INST_LOAN_PAYMENT_FRACTION_MIN_MIN,-0.258316306609241
num__REGION_RATING_CLIENT_W_CITY,0.25425253145548243
cat__ORGANIZATION_TYPE_Construction,0.2535747988928478
num__YEARS_BUILD_MEDI,-0.2513078912777095
num__FLAG_CONT_MOBILE,-0.2504287984585006
cat__ORGANIZATION_TYPE_Trade__type_2,-0.2495447511934055
cat__ORGANIZATION_TYPE_Security_Ministries,-0.24895720584084458
cat__OCCUPATION_TYPE_Low-skill_Laborers,0.24535018890749238
cat__ORGANIZATION_TYPE_Police,-0.24336307774216928
num__FLAG_DOCUMENT_7,0.24328382540462037
cat__NAME_HOUSING_TYPE_Office_apartment,-0.24220159297817026
cat__NAME_INCOME_TYPE_Businessman,-0.24103605381297055
num__BUREAU_BUREAU_BAL_STATUS_NUMERIC_MEAN_MEAN,0.23993065930752971
num__missingindicator_POS_CNT_INSTALMENT_FUTURE_MEAN,0.2385829448428489
num__missingindicator_POS_CNT_INSTALMENT_MAX,0.2385829448428489
num__missingindicator_POS_CNT_INSTALMENT_MEAN,0.2385829448428489
cat__ORGANIZATION_TYPE_Industry__type_8,0.23093842320310187
cat__NAME_INCOME_TYPE_Commercial_associate,0.22907232292323015
num__BUREAU_DEBT_CREDIT_RATIO,0.22758233377756326
num__LIVINGAREA_MEDI,0.22290070055272895
cat__ORGANIZATION_TYPE_Advertising,0.22222944514840468
num__FLAG_DOCUMENT_21,0.22191618361667823
num__BASEMENTAREA_MEDI,0.21871883026544212
cat__OCCUPATION_TYPE_IT_staff,-0.2176801239215136
cat__ORGANIZATION_TYPE_Bank,-0.21309601130653225
cat__NAME_TYPE_SUITE_missing,-0.20644796554070613
cat__missingindicator_NAME_TYPE_SUITE_True,-0.20644796554070613
num__REG_CITY_NOT_LIVE_CITY,0.20606681686169473
cat__NAME_INCOME_TYPE_State_servant,0.19708480142580567
num__missingindicator_EXT_SOURCE_1,0.19486482881567194
cat__missingindicator_OCCUPATION_TYPE_False,-0.19244057653622532
num__AMT_ANNUITY,0.18995035048282555
num__BUREAU_BUREAU_BAL_STATUS_NUMERIC_MAX_MEAN,0.18981475779271811
num__LIVE_REGION_NOT_WORK_REGION,-0.18106256616105862
cat__ORGANIZATION_TYPE_Mobile,0.17637331526021813
cat__ORGANIZATION_TYPE_Telecom,0.17507479430575137
cat__NAME_FAMILY_STATUS_Married,-0.1736242229195611
cat__ORGANIZATION_TYPE_Industry__type_5,-0.1713404131025455
num__AMT_REQ_CREDIT_BUREAU_DAY,0.17018078827997166
cat__ORGANIZATION_TYPE_Self-employed,0.16574487786603823
cat__ORGANIZATION_TYPE_Industry__type_1,0.16392437652710778
num__POS_CNT_INSTALMENT_MAX,0.1633008177443394
cat__ORGANIZATION_TYPE_Restaurant,0.16110806600022382
num__CLIENT_INST_LOAN_IS_MISSED_PAYMENT_SUM_SUM,0.16078845621962137
cat__ORGANIZATION_TYPE_Trade__type_3,0.1605841635748886
cat__FLAG_OWN_REALTY_N,-0.1591172324899651
cat__OCCUPATION_TYPE_Accountants,-0.157992245255649
cat__FLAG_OWN_REALTY_Y,-0.15594168797131294
num__missingindicator_BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,0.15467671142074293
num__FLAG_DOCUMENT_9,0.15388700652944254
num__missingindicator_BUREAU_ACTIVE_DEBT_RATIO,0.15245505458904884
cat__ORGANIZATION_TYPE_Industry__type_3,0.15089188334932782
num__FLAG_WORK_PHONE,0.14770087146467242
cat__ORGANIZATION_TYPE_School,-0.14638788448915552
cat__ORGANIZATION_TYPE_Industry__type_4,0.14459024806085663
num__OBS_30_CNT_SOCIAL_CIRCLE,0.14066786927282518
num__FLAG_DOCUMENT_10,-0.14057279009811
num__missingindicator_DAYS_EMPLOYED,0.1401894812875842
cat__ORGANIZATION_TYPE_XNA,0.1401894812875842
num__OBS_60_CNT_SOCIAL_CIRCLE,-0.13893963542412713
num__PREV_HAS_INTEREST_RATE_MEAN,0.1383922283898774
cat__ORGANIZATION_TYPE_Insurance,-0.1383126000919152
num__BUREAU_HAS_BEEN_OVERDUE_MAX,0.13766478787714867
cat__ORGANIZATION_TYPE_Culture,0.13334466418694282
cat__ORGANIZATION_TYPE_Trade__type_1,0.1331681114531924
cat__ORGANIZATION_TYPE_Religion,-0.13257240333564038
num__missingindicator_BUREAU_DEBT_CREDIT_RATIO,0.1316085441776614
num__FLAG_DOCUMENT_11,-0.1280688889175433
num__PREV_DAYS_DECISION_MEAN,0.1271348534116332
num__POS_POS_IS_SEVERE_LATE_SUM,-0.12686022292627058
num__CLIENT_INST_SK_ID_PREV_COUNT,-0.12364531132375452
cat__OCCUPATION_TYPE_missing,-0.12261834392263841
cat__missingindicator_OCCUPATION_TYPE_True,-0.12261834392263841
num__REG_REGION_NOT_WORK_REGION,0.12122904293250264
num__LANDAREA_MEDI,0.11950798588410098
num__APARTMENTS_MEDI,0.11921563266126917
cat__NAME_TYPE_SUITE_Other_A,-0.11876936573811582
cat__ORGANIZATION_TYPE_Business_Entity_Type_3,0.1186614648316261
num__CLIENT_INST_LOAN_NUM_INSTALMENT_VERSION_NUNIQUE_SUM,-0.11734997513235211
cat__NAME_EDUCATION_TYPE_Incomplete_higher,0.1146339866822867
num__DAYS_EMPLOYED,0.11298468505980835
num__FLAG_DOCUMENT_19,-0.11246623645244991
num__missingindicator_PREV_CNT_PAYMENT_MAX,0.11166915679565911
num__missingindicator_PREV_CNT_PAYMENT_MEAN,0.11166915679565911
cat__ORGANIZATION_TYPE_Postal,0.11098206162229804
cat__WEEKDAY_APPR_PROCESS_START_SUNDAY,-0.10872756090200407
cat__missingindicator_NAME_TYPE_SUITE_False,-0.10861095492098106
cat__ORGANIZATION_TYPE_Transport__type_4,0.10808165186916996
cat__OCCUPATION_TYPE_Drivers,0.1075803513854768
num__PREV_CNT_PAYMENT_MEAN,0.10724708605216215
cat__OCCUPATION_TYPE_Core_staff,-0.10706236929755615
num__PREV_PREV_IS_REFUSED_MEAN,0.10692006286583931
cat__ORGANIZATION_TYPE_Agriculture,0.10603099460801348
num__POS_MONTHS_BALANCE_MAX,-0.10564397654672682
cat__CODE_GENDER_XNA,-0.10391269403959152
cat__ORGANIZATION_TYPE_Business_Entity_Type_2,0.10261327837486793
num__missingindicator_ELEVATORS_MEDI,-0.10246430170514
cat__NAME_FAMILY_STATUS_Unknown,-0.10227762962355631
num__missingindicator_CNT_FAM_MEMBERS,-0.10227762962355631
cat__OCCUPATION_TYPE_Private_service_staff,-0.1007305204029697
num__COMMONAREA_MEDI,-0.10042236730169135
cat__NAME_TYPE_SUITE_Other_B,0.09940335587034564
cat__ORGANIZATION_TYPE_Industry__type_13,0.09906988295799399
cat__ORGANIZATION_TYPE_Security,0.09734548910682664
num__DEF_30_CNT_SOCIAL_CIRCLE,0.09569097232494471
num__PREV_PREV_IS_APPROVED_SUM,-0.09485823086624755
num__DEF_60_CNT_SOCIAL_CIRCLE,0.09323034079591486
num__missingindicator_YEARS_BUILD_MEDI,0.09292752364800981
num__PREV_AMT_CREDIT_MEAN,-0.09177632117028857
